,REF_DATE,GEO,DGUID,Index,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
0,1981-01,Canada,2016A000011124,"Electric power selling price indexes, national total","Index, 2014=100",351,units ,0,v107792869,1.1,31,,,,1
1,1981-01,Canada,2016A000011124,Electric power selling price over 5000kw,"Index, 2014=100",351,units ,0,v107792870,1.2,31.1,,,,1
2,1981-01,Canada,2016A000011124,Electric power selling price under 5000kw,"Index, 2014=100",351,units ,0,v107792871,1.3,30.8,,,,1
3,1981-01,Atlantic Region,2016A00011,Electric power selling price over 5000kw,"Index, 2014=100",351,units ,0,v107792873,2.2,38.2,,,,1
4,1981-01,Atlantic Region,2016A00011,Electric power selling price under 5000kw,"Index, 2014=100",351,units ,0,v107792874,2.3,45.2,,,,1
5,1981-01,Newfoundland and Labrador,2016A000210,Electric power selling price over 5000kw,"Index, 2014=100",351,units ,0,v107792876,3.2,44.1,,,,1
6,1981-01,Newfoundland and Labrador,2016A000210,Electric power selling price under 5000kw,"Index, 2014=100",351,units ,0,v107792877,3.3,46.2,,,,1
7,1981-01,Prince Edward Island,2016A000211,Electric power selling price under 5000kw,"Index, 2014=100",351,units ,0,v107792880,4.3,50.7,,,,1
8,1981-01,Nova Scotia,2016A000212,Electric power selling price over 5000kw,"Index, 2014=100",351,units ,0,v107792882,5.2,37.1,,,,1
9,1981-01,Nova Scotia,2016A000212,Electric power selling price under 5000kw,"Index, 2014=100",351,units ,0,v107792883,5.3,48.1,,,,1
10,1981-01,New Brunswick,2016A000213,Electric power selling price over 5000kw,"Index, 2014=100",351,units ,0,v107792885,6.2,40.6,,,,1
11,1981-01,New Brunswick,2016A000213,Electric power selling price under 5000kw,"Index, 2014=100",351,units ,0,v107792886,6.3,50,,,,1
12,1981-01,Quebec,2016A000224,Electric power selling price over 5000kw,"Index, 2014=100",351,units ,0,v107792888,7.2,37,,,,1
13,1981-01,Quebec,2016A000224,Electric power selling price under 5000kw,"Index, 2014=100",351,units ,0,v107792889,7.3,42.5,,,,1
14,1981-01,Ontario,2016A000235,Electric power selling price over 5000kw,"Index, 2014=100",351,units ,0,v107792891,8.2,30.4,,,,1
15,1981-01,Ontario,2016A000235,Electric power selling price under 5000kw,"Index, 2014=100",351,units ,0,v107792892,8.3,26.8,,,,1
16,1981-01,Prairie Region,2016A00014,Electric power selling price over 5000kw,"Index, 2014=100",351,units ,0,v107792894,9.2,21.7,,,,1
17,1981-01,Prairie Region,2016A00014,Electric power selling price under 5000kw,"Index, 2014=100",351,units ,0,v107792895,9.3,27.8,,,,1
18,1981-01,Manitoba,2016A000246,Electric power selling price over 5000kw,"Index, 2014=100",351,units ,0,v107792897,10.2,42.9,,,,1
19,1981-01,Manitoba,2016A000246,Electric power selling price under 5000kw,"Index, 2014=100",351,units ,0,v107792898,10.3,45,,,,1
20,1981-01,Saskatchewan,2016A000247,Electric power selling price over 5000kw,"Index, 2014=100",351,units ,0,v107792900,11.2,31.8,,,,1
21,1981-01,Saskatchewan,2016A000247,Electric power selling price under 5000kw,"Index, 2014=100",351,units ,0,v107792901,11.3,36.7,,,,1
22,1981-01,Alberta,2016A000248,Electric power selling price over 5000kw,"Index, 2014=100",351,units ,0,v107792903,12.2,13.2,,,,1
23,1981-01,Alberta,2016A000248,Electric power selling price under 5000kw,"Index, 2014=100",351,units ,0,v107792904,12.3,25.2,,,,1
24,1981-01,British Columbia,2016A000259,Electric power selling price over 5000kw,"Index, 2014=100",351,units ,0,v107792906,13.2,29,,,,1
25,1981-01,British Columbia,2016A000259,Electric power selling price under 5000kw,"Index, 2014=100",351,units ,0,v107792907,13.3,33.4,,,,1
26,1981-02,Canada,2016A000011124,"Electric power selling price indexes, national total","Index, 2014=100",351,units ,0,v107792869,1.1,31.3,,,,1
27,1981-02,Canada,2016A000011124,Electric power selling price over 5000kw,"Index, 2014=100",351,units ,0,v107792870,1.2,31.1,,,,1
28,1981-02,Canada,2016A000011124,Electric power selling price under 5000kw,"Index, 2014=100",351,units ,0,v107792871,1.3,31.1,,,,1
29,1981-02,Atlantic Region,2016A00011,Electric power selling price over 5000kw,"Index, 2014=100",351,units ,0,v107792873,2.2,38.2,,,,1
30,1981-02,Atlantic Region,2016A00011,Electric power selling price under 5000kw,"Index, 2014=100",351,units ,0,v107792874,2.3,45.5,,,,1
31,1981-02,Newfoundland and Labrador,2016A000210,Electric power selling price over 5000kw,"Index, 2014=100",351,units ,0,v107792876,3.2,44.3,,,,1
32,1981-02,Newfoundland and Labrador,2016A000210,Electric power selling price under 5000kw,"Index, 2014=100",351,units ,0,v107792877,3.3,46.5,,,,1
33,1981-02,Prince Edward Island,2016A000211,Electric power selling price under 5000kw,"Index, 2014=100",351,units ,0,v107792880,4.3,54,,,,1
34,1981-02,Nova Scotia,2016A000212,Electric power selling price over 5000kw,"Index, 2014=100",351,units ,0,v107792882,5.2,37.1,,,,1
35,1981-02,Nova Scotia,2016A000212,Electric power selling price under 5000kw,"Index, 2014=100",351,units ,0,v107792883,5.3,48.1,,,,1
36,1981-02,New Brunswick,2016A000213,Electric power selling price over 5000kw,"Index, 2014=100",351,units ,0,v107792885,6.2,40.6,,,,1
37,1981-02,New Brunswick,2016A000213,Electric power selling price under 5000kw,"Index, 2014=100",351,units ,0,v107792886,6.3,50,,,,1
38,1981-02,Quebec,2016A000224,Electric power selling price over 5000kw,"Index, 2014=100",351,units ,0,v107792888,7.2,37,,,,1
39,1981-02,Quebec,2016A000224,Electric power selling price under 5000kw,"Index, 2014=100",351,units ,0,v107792889,7.3,42.5,,,,1
40,1981-02,Ontario,2016A000235,Electric power selling price over 5000kw,"Index, 2014=100",351,units ,0,v107792891,8.2,30.6,,,,1
41,1981-02,Ontario,2016A000235,Electric power selling price under 5000kw,"Index, 2014=100",351,units ,0,v107792892,8.3,27.3,,,,1
42,1981-02,Prairie Region,2016A00014,Electric power selling price over 5000kw,"Index, 2014=100",351,units ,0,v107792894,9.2,21.7,,,,1
43,1981-02,Prairie Region,2016A00014,Electric power selling price under 5000kw,"Index, 2014=100",351,units ,0,v107792895,9.3,28,,,,1
44,1981-02,Manitoba,2016A000246,Electric power selling price over 5000kw,"Index, 2014=100",351,units ,0,v107792897,10.2,42.9,,,,1
45,1981-02,Manitoba,2016A000246,Electric power selling price under 5000kw,"Index, 2014=100",351,units ,0,v107792898,10.3,45,,,,1
46,1981-02,Saskatchewan,2016A000247,Electric power selling price over 5000kw,"Index, 2014=100",351,units ,0,v107792900,11.2,31.8,,,,1
47,1981-02,Saskatchewan,2016A000247,Electric power selling price under 5000kw,"Index, 2014=100",351,units ,0,v107792901,11.3,39.1,,,,1
48,1981-02,Alberta,2016A000248,Electric power selling price over 5000kw,"Index, 2014=100",351,units ,0,v107792903,12.2,13.2,,,,1
49,1981-02,Alberta,2016A000248,Electric power selling price under 5000kw,"Index, 2014=100",351,units ,0,v107792904,12.3,25.2,,,,1
50,1981-02,British Columbia,2016A000259,Electric power selling price over 5000kw,"Index, 2014=100",351,units ,0,v107792906,13.2,29,,,,1
51,1981-02,British Columbia,2016A000259,Electric power selling price under 5000kw,"Index, 2014=100",351,units ,0,v107792907,13.3,34.2,,,,1
52,1981-03,Canada,2016A000011124,"Electric power selling price indexes, national total","Index, 2014=100",351,units ,0,v107792869,1.1,31.3,,,,1
53,1981-03,Canada,2016A000011124,Electric power selling price over 5000kw,"Index, 2014=100",351,units ,0,v107792870,1.2,31.1,,,,1
54,1981-03,Canada,2016A000011124,Electric power selling price under 5000kw,"Index, 2014=100",351,units ,0,v107792871,1.3,31.1,,,,1
55,1981-03,Atlantic Region,2016A00011,Electric power selling price over 5000kw,"Index, 2014=100",351,units ,0,v107792873,2.2,38.4,,,,1
56,1981-03,Atlantic Region,2016A00011,Electric power selling price under 5000kw,"Index, 2014=100",351,units ,0,v107792874,2.3,45.5,,,,1
57,1981-03,Newfoundland and Labrador,2016A000210,Electric power selling price over 5000kw,"Index, 2014=100",351,units ,0,v107792876,3.2,45.2,,,,1
58,1981-03,Newfoundland and Labrador,2016A000210,Electric power selling price under 5000kw,"Index, 2014=100",351,units ,0,v107792877,3.3,47.1,,,,1
59,1981-03,Prince Edward Island,2016A000211,Electric power selling price under 5000kw,"Index, 2014=100",351,units ,0,v107792880,4.3,54.2,,,,1
60,1981-03,Nova Scotia,2016A000212,Electric power selling price over 5000kw,"Index, 2014=100",351,units ,0,v107792882,5.2,37.1,,,,1
61,1981-03,Nova Scotia,2016A000212,Electric power selling price under 5000kw,"Index, 2014=100",351,units ,0,v107792883,5.3,48.1,,,,1
62,1981-03,New Brunswick,2016A000213,Electric power selling price over 5000kw,"Index, 2014=100",351,units ,0,v107792885,6.2,40.6,,,,1
63,1981-03,New Brunswick,2016A000213,Electric power selling price under 5000kw,"Index, 2014=100",351,units ,0,v107792886,6.3,50,,,,1
64,1981-03,Quebec,2016A000224,Electric power selling price over 5000kw,"Index, 2014=100",351,units ,0,v107792888,7.2,37,,,,1
65,1981-03,Quebec,2016A000224,Electric power selling price under 5000kw,"Index, 2014=100",351,units ,0,v107792889,7.3,42.5,,,,1
66,1981-03,Ontario,2016A000235,Electric power selling price over 5000kw,"Index, 2014=100",351,units ,0,v107792891,8.2,30.6,,,,1
67,1981-03,Ontario,2016A000235,Electric power selling price under 5000kw,"Index, 2014=100",351,units ,0,v107792892,8.3,27.3,,,,1
68,1981-03,Prairie Region,2016A00014,Electric power selling price over 5000kw,"Index, 2014=100",351,units ,0,v107792894,9.2,21.7,,,,1
69,1981-03,Prairie Region,2016A00014,Electric power selling price under 5000kw,"Index, 2014=100",351,units ,0,v107792895,9.3,28,,,,1
70,1981-03,Manitoba,2016A000246,Electric power selling price over 5000kw,"Index, 2014=100",351,units ,0,v107792897,10.2,42.9,,,,1
71,1981-03,Manitoba,2016A000246,Electric power selling price under 5000kw,"Index, 2014=100",351,units ,0,v107792898,10.3,45,,,,1
72,1981-03,Saskatchewan,2016A000247,Electric power selling price over 5000kw,"Index, 2014=100",351,units ,0,v107792900,11.2,31.8,,,,1
73,1981-03,Saskatchewan,2016A000247,Electric power selling price under 5000kw,"Index, 2014=100",351,units ,0,v107792901,11.3,39.1,,,,1
74,1981-03,Alberta,2016A000248,Electric power selling price over 5000kw,"Index, 2014=100",351,units ,0,v107792903,12.2,13.2,,,,1
75,1981-03,Alberta,2016A000248,Electric power selling price under 5000kw,"Index, 2014=100",351,units ,0,v107792904,12.3,25.2,,,,1
76,1981-03,British Columbia,2016A000259,Electric power selling price over 5000kw,"Index, 2014=100",351,units ,0,v107792906,13.2,29,,,,1
77,1981-03,British Columbia,2016A000259,Electric power selling price under 5000kw,"Index, 2014=100",351,units ,0,v107792907,13.3,34.2,,,,1
78,1981-04,Canada,2016A000011124,"Electric power selling price indexes, national total","Index, 2014=100",351,units ,0,v107792869,1.1,31.2,,,,1
79,1981-04,Canada,2016A000011124,Electric power selling price over 5000kw,"Index, 2014=100",351,units ,0,v107792870,1.2,31,,,,1
80,1981-04,Canada,2016A000011124,Electric power selling price under 5000kw,"Index, 2014=100",351,units ,0,v107792871,1.3,31.1,,,,1
81,1981-04,Atlantic Region,2016A00011,Electric power selling price over 5000kw,"Index, 2014=100",351,units ,0,v107792873,2.2,38.3,,,,1
82,1981-04,Atlantic Region,2016A00011,Electric power selling price under 5000kw,"Index, 2014=100",351,units ,0,v107792874,2.3,45.1,,,,1
83,1981-04,Newfoundland and Labrador,2016A000210,Electric power selling price over 5000kw,"Index, 2014=100",351,units ,0,v107792876,3.2,44.6,,,,1
84,1981-04,Newfoundland and Labrador,2016A000210,Electric power selling price under 5000kw,"Index, 2014=100",351,units ,0,v107792877,3.3,47.9,,,,1
85,1981-04,Prince Edward Island,2016A000211,Electric power selling price under 5000kw,"Index, 2014=100",351,units ,0,v107792880,4.3,48.5,,,,1
86,1981-04,Nova Scotia,2016A000212,Electric power selling price over 5000kw,"Index, 2014=100",351,units ,0,v107792882,5.2,37.1,,,,1
87,1981-04,Nova Scotia,2016A000212,Electric power selling price under 5000kw,"Index, 2014=100",351,units ,0,v107792883,5.3,48.1,,,,1
88,1981-04,New Brunswick,2016A000213,Electric power selling price over 5000kw,"Index, 2014=100",351,units ,0,v107792885,6.2,40.6,,,,1
89,1981-04,New Brunswick,2016A000213,Electric power selling price under 5000kw,"Index, 2014=100",351,units ,0,v107792886,6.3,50,,,,1
90,1981-04,Quebec,2016A000224,Electric power selling price over 5000kw,"Index, 2014=100",351,units ,0,v107792888,7.2,37,,,,1
91,1981-04,Quebec,2016A000224,Electric power selling price under 5000kw,"Index, 2014=100",351,units ,0,v107792889,7.3,42.5,,,,1
